News Source,Bias,Reporting,References,Website
The American Prospect,Left,High,723260,https://talkingpointsmemo.com/
The Burning Spear,Left,High,6601,https://prospect.org/
The Canary (UK),Left,High,50785,http://www.theburningspear.com/
The Climate Reality Project,Left,High,184691,https://www.thecanary.co/uk/
The Daily Banter,Left,High,153604,https://www.climaterealityproject.org/
The Daily Vox,Left,High,30944,https://thedailybanter.com/
The Establishment,Left,High,9474,https://www.vox.com/today-explained
The Frisky,Left,High,176904,https://theestablishment.co/
The Intellectualist,Left,High,1040,https://en.wikipedia.org/wiki/The_Frisky
The Mary Sue,Left,High,356290,https://mavenroundtable.io/theintellectualist/
The Militant,Left,High,42457,https://www.themarysue.com/
The National Memo,Left,High,91199,https://en.wikipedia.org/wiki/The_Militant
The Outline,Left,High,25366,http://www.nationalmemo.com/
The Palestine Chronicle,Left,High,222228,https://theoutline.com/
The Progressive,Left,High,322310,http://www.palestinechronicle.com/
The Village Voice,Left,High,1051117,https://progressive.org/
The Walrus,Left,High,32447,https://en.wikipedia.org/wiki/The_Village_Voice
The Young Turks,Left,High,56183,https://thewalrus.ca/
TheGrio,Left,High,329071,https://tyt.com/
This Magazine,Left,High,26308,https://thegrio.com/
Tribune Magazine UK,Left,High,34468,https://twitter.com/thismagazine?lang=en
Truth Against the Machine,Left,High,0,https://tribunemag.co.uk/
Truthdig,Left,High,1590563,https://www.indiegogo.com/projects/truth-against-the-machine
Upworthy,Left,High,50670,https://www.truthdig.com/
Vanity Fair,Left,High,1682703,https://www.upworthy.com/
Verified Politics,Left,High,30402,https://www.vanityfair.com/
Washington Journal (Not C-Span),Left,High,5782,https://www.facebook.com/verifiedpolitics/
Washington Monthly,Left,High,3134232,https://www.c-span.org/series/?washingtonJournal
Wear Your Voice,Left,High,1254,https://washingtonmonthly.com/magazine/november-december-2018/selective-hearing/
What Matters News,Left,High,1227,https://wearyourvoicemag.com/
The World Can t Wait,Left,High,7300,https://mediabiasfactcheck.com/what-matters-news/
World Socialist Web Site,Left,High,32516198,https://en.wikipedia.org/wiki/The_World_Can%27t_Wait
Yes Magazine,Left,High,190489,https://www.wsws.org/
Z Magazine,Left,High,60566,https://www.yesmagazine.org/
Affinity Magazine,Left-Center,Mixed,17956,https://zcomm.org/zmag/
BlastingNews,Left-Center,Mixed,274828,http://affinitymagazine.us/
Citizens for Legitimate Government (CLG News),Left-Center,Mixed,1616692,https://us.blastingnews.com/
Dutch Review,Left-Center,Mixed,9348,https://www.legitgov.org/
Egyptian Streets,Left-Center,Mixed,27146,https://dutchreview.com/
Euractiv,Left-Center,Mixed,735793,https://egyptianstreets.com/
The Fifth Column,Left-Center,Mixed,74886,https://www.euractiv.com/
Fusion,Left-Center,Mixed,131084,https://en.wikipedia.org/wiki/Fifth_column
Health Magazine,Left-Center,Mixed,2074639,https://www.ford.ca/cars/fusion/
Independent Media Center,Left-Center,Mixed,4145085,https://www.health.com/
Kurdistan 24,Left-Center,Mixed,7474,https://www.indymedia.org/
Medium,Left-Center,Mixed,2929801,http://www.kurdistan24.net/
San Francisco Globe,Left-Center,Mixed,37311,https://medium.com/
ScoopWhoop,Left-Center,Mixed,14914,https://www.youtube.com/user/sfglobe
Second Nexus,Left-Center,Mixed,1099,https://www.scoopwhoop.com/
The Odyssey Online,Left-Center,Mixed,822574,https://secondnexus.com/
UAWire,Left-Center,Mixed,27392,https://www.theodysseyonline.com/
Yahoo News,Left-Center,Mixed,115404350,https://uawire.org/
Above the Law,Left-Center,High,413582,https://ca.news.yahoo.com/
Aeon,Left-Center,High,164164,https://abovethelaw.com/
African Arguments,Left-Center,High,60054,https://www.facebook.com/aeonphotograph/
Akron Beacon Journal,Left-Center,High,1142054,https://africanarguments.org/
Al-Hayat,Left-Center,High,235363,https://www.ohio.com/
Al Monitor,Left-Center,High,71775,https://en.wikipedia.org/wiki/Al-Hayat
Alan Guttmacher Institute,Left-Center,High,45258,https://www.al-monitor.com/
Alaska Dispatch News,Left-Center,High,289068,https://www.guttmacher.org/
Albany Times-Union,Left-Center,High,1113673,https://www.adn.com/
Allied Progress,Left-Center,High,552,https://www.timesunion.com/
AM New York,Left-Center,High,1817835,https://alliedprogress.org/
American Civil Liberties Union (ACLU),Left-Center,High,1580537,https://www.amny.com/
Anti-Defamation League,Left-Center,High,1474482,https://www.aclu.org/
AOL,Left-Center,High,27728715,https://www.adl.org/
Ara News,Left-Center,High,75946,https://www.aol.ca/
Arizona Daily Star,Left-Center,High,1704393,http://aranews.net/
Asheville Citizen-Times,Left-Center,High,1325464,https://tucson.com/
Atlanta Black Star,Left-Center,High,230405,https://www.citizen-times.com/
Atlanta Journal-Constitution,Left-Center,High,6982204,http://atlantablackstar.com/
Atlantic Media,Left-Center,High,32794,https://www.ajc.com/
ATTN:,Left-Center,High,14815,https://atlanticmedia.com/
Austin American-Statesman,Left-Center,High,2785957,https://www.attn.com/
BackChannel,Left-Center,Very High,4432,https://www.statesman.com/
Baptist News Global,Left-Center,High,12979,https://en.wikipedia.org/wiki/Backchannel
Beijing Review,Left-Center,High,152855,https://baptistnews.com/
BillMoyers.com,Left-Center,Very High,226341,http://www.bjreview.com/
Bluestem Prairie,Left-Center,High,18754,https://billmoyers.com/
Boy Genius Report (BGR),Left-Center,High,1023291,https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/bluestem-prairie-scientific-and-natural-area/
Brookings Institute,Left-Center,Very High,916884,https://bgr.com/
Buffalo News,Left-Center,High,160034,https://www.brookings.edu/
Bustle Magazine,Left-Center,High,294942,https://buffalonews.com/
Calgary Herald,Left-Center,High,644628,https://www.bustle.com/
Caribbean Life News,Left-Center,High,46514,https://calgaryherald.com/
Carolina Public Press,Left-Center,High,48929,https://www.caribbeanlifenews.com/
CCTV America,Left-Center,High,1927,https://carolinapublicpress.org/
Center for International Policy,Left-Center,Very High,238489,http://cctv.cntv.cn/lm/cctvamerica/index.shtml
Center for Popular Democracy,Left-Center,High,12847,https://en.wikipedia.org/wiki/Center_for_International_Policy
Charlotte Observer,Left-Center,High,1623797,https://populardemocracy.org/
Chicago Sun Times,Left-Center,High,743462,https://www.charlotteobserver.com/
Citizens for Tax Justice,Left-Center,High,18842,https://chicago.suntimes.com/
Citizens for Responsibility and Ethics in Washington (CREW),Left-Center,High,150647,https://en.wikipedia.org/wiki/Citizens_for_Tax_Justice
Clean Technica,Left-Center,Very High,206027,https://www.influencewatch.org/non-profit/citizens-for-responsibility-and-ethics-in-washington/
Columbia Journalism Review,Left-Center,High,655021,https://cleantechnica.com/
Committee to Investigate Russia,Left-Center,High,6550,https://www.cjr.org/
Common Cause,Left-Center,High,156536,https://investigaterussia.org/
Commonweal Magazine,Left-Center,High,62118,https://www.commoncause.org/
Commonwealth Fund,Left-Center,High,44669,https://www.commonwealmagazine.org/
Council for the National Interest,Left-Center,High,141064,https://www.commonwealthfund.org/
Credo Action,Left-Center,High,29354,http://www.councilforthenationalinterest.org/
Crosscut.com,Left-Center,High,83817,https://credoaction.com/
CTV News,Left-Center,High,1786635,https://www.merriam-webster.com/dictionary/crosscut
Daily Hive,Left-Center,High,107030,https://www.ctvnews.ca/
Deadline Hollywood,Left-Center,High,1478610,https://dailyhive.com/
Delaware Online   The News Journal,Left-Center,High,1290204,https://deadline.com/
Democracy 21,Left-Center,High,82428,https://www.delawareonline.com/
Democrat and Chronicle,Left-Center,High,1377631,https://democracy21.org/
Demos,Left-Center,High,134410,https://www.democratandchronicle.com/
Denver Post,Left-Center,High,1951696,https://demos.co.uk/
Detroit Free Press,Left-Center,High,1748984,https://www.denverpost.com/
Die Zeit,Left-Center,High,837000,https://www.freep.com/
Digg,Left-Center,High,28112717,https://www.zeit.de/index
DiversityInc,Left-Center,High,74956,https://open.spotify.com/user/fossen95/playlist/59rGIUiw9lqLEPq0xEEiAo
Dutch Daily News,Left-Center,High,5610,https://www.diversityinc.com/
DW News,Left-Center,High,4681143,https://www.dutchnews.nl/
EarthJustice,Left-Center,High,111920,https://www.dw.com/en/top-stories/news/s-30701
East Bay Times,Left-Center,High,1060550,https://earthjustice.org/
Economic Policy Institute,Left-Center,High,493364,https://www.eastbaytimes.com/
Economics.Help,Left-Center,High,12682,https://www.epi.org/
Edmonton Journal,Left-Center,High,550969,https://www.ryerson.ca/economics/economicshelpcentre/
El Pais,Left-Center,High,12086157,https://edmontonjournal.com/
El Paso Times,Left-Center,High,109740,https://elpais.com/
Electronic Frontier Foundation,Left-Center,High,9132576,https://www.elpasotimes.com/
Emirates 24/7,Left-Center,High,1150245,https://www.eff.org/
Empty Wheel,Left-Center,High,329336,http://www.emirates247.com/
Engadget,Left-Center,High,5858093,https://www.wired.com/review/review-onewheel-xr/
EU Observer,Left-Center,High,316111,https://www.engadget.com/
Exposing the Truth,Left-Center,High,490,https://euobserver.com/
Factbox.TV,Left-Center,High,432,https://www.exposingtruth.com/
Fact / Myth,Left-Center,High,1608,http://factbox.tv/
FairVote,Left-Center,High,253043,http://factmyth.com/
Fast Company Magazine,Left-Center,High,781183,https://www.fairvote.ca/
Feminist Frequency,Left-Center,High,23308,https://www.fastcompany.com/
Fight for the Future,Left-Center,High,44004,https://feministfrequency.com/
FiveThirtyEight,Left-Center,High,1876688,https://www.fightforthefuture.org/
France24,Left-Center,High,2321515,https://fivethirtyeight.com/
Freakonomics Radio,Left-Center,High,665692,https://www.facebook.com/pages/France24-al-manar-tv-wesal-tv/123387687747095
Free Press,Left-Center,High,534597,http://freakonomics.com/archive/
Fresno Bee,Left-Center,High,1315574,https://lfpress.com/
Gay Star News,Left-Center,High,55636,https://www.fresnobee.com/
Geopolitics Alert,Left-Center,High,49192,https://www.gaystarnews.com/
Glamour Magazine,Left-Center,High,2468579,https://geopoliticsalert.com/
Global News,Left-Center,High,819128,https://www.glamour.com/
Global Post,Left-Center,High,3398679,https://globalnews.ca/
Global Times (China),Left-Center,High,2933360,https://www.pri.org/globalpost
Governing Magazine,Left-Center,High,160930,http://www.globaltimes.cn/
Greentech Media,Left-Center,High,170212,https://en.wikipedia.org/wiki/Governing_(magazine)
Grist,Left-Center,High,860540,https://www.greentechmedia.com/
Haaretz,Left-Center,High,6814857,https://en.wikipedia.org/wiki/Grist
Harper s Magazine,Left-Center,High,623535,https://www.haaretz.com/
HealthyWay,Left-Center,High,3876,https://harpers.org/
Heavy,Left-Center,High,552730,https://www.healthyway.com/
Helsinki Times,Left-Center,High,109070,https://heavy.com/
Highline,Left-Center,High,3396116,https://www.thetimes.co.uk/article/how-to-spend-a-weekend-inhelsinki-finland-qdgvvst6m
History News Network,Left-Center,High,314872,https://www.highline.edu/
Hollywood Reporter,Left-Center,High,3450552,https://en.wikiversity.org/wiki/Network%2B
Honolulu Star-Advertiser,Left-Center,High,973343,https://www.hollywoodreporter.com/
Human Rights Watch,Left-Center,High,1446131,https://www.staradvertiser.com/
Humanium,Left-Center,High,7434,https://www.hrw.org/
Ice News,Left-Center,High,53975,https://nordic.businessinsider.com/a-swedish-watch-brand-just-released-a-limited-edition-timepiece---made-from-illegal-guns--/
Indianapolis Star,Left-Center,High,869820,https://www.ice.gov/news/all
Inside Higher Ed,Left-Center,High,1446533,https://www.indystar.com/
Inside Philanthropy,Left-Center,High,2950,https://www.insidehighered.com/
InsideClimate News,Left-Center,High,243176,https://www.insidephilanthropy.com/
Institute on Taxation and Economic Policy (ITEP),Left-Center,High,21466,https://insideclimatenews.org/
International Center for Research on Women,Left-Center,High,55326,https://itep.org/
International Crisis Group,Left-Center,High,263490,https://www.icrw.org/
iPolitics,Left-Center,High,122156,https://www.crisisgroup.org/
Joint Center for Political and Economic Studies,Left-Center,High,34852,https://ipolitics.ca/
Journal of Politics and Society,Left-Center,Very High,655,https://jointcenter.org/
KMOV,Left-Center,High,152510,https://www.helvidius.org/
Knight Foundation,Left-Center,High,1990062,https://www.kmov.com/
KOCO News 5,Left-Center,High,78812,https://knightfoundation.org/
KUOW NPR,Left-Center,High,100922,https://www.koco.com/
LA Times (Los Angeles Times),Left-Center,High,15146071,https://www.kuow.org/
Latin Times,Left-Center,High,55289,https://www.latimes.com/world/
Law Newz,Left-Center,High,27263,https://www.thetimes.co.uk/article/latin-lessons-22n2xhzvzgj
Lawfare Blog,Left-Center,High,1371084,http://news.mit.edu/2019/first-ai-policy-congress-0118
Left Justified,Left-Center,High,5776,https://www.lawfareblog.com/
National Monitor,Left-Center,High,14145,https://www.lifewire.com/text-alignment-tips-1074943
Lethbridge Herald,Left-Center,High,272179,http://natmonitor.com/
Lexington Herald Leader,Left-Center,High,811242,https://lethbridgeherald.com/
Liberal Mountain,Left-Center,High,2417,https://www.kentucky.com/
Lifehacker,Left-Center,High,7210265,http://www.liberalmountain.com/
LiveLeak,Left-Center,High,2089490,https://lifehacker.com/
Maclean s Magazine,Left-Center,High,639780,https://www.liveleak.com/
Maine Beacon,Left-Center,High,2948,https://www.macleans.ca/about-us/contact-us/
MediaFile,Left-Center,High,5225,http://mainebeacon.com/
Metro UK,Left-Center,High,5465053,https://www.mediafire.com/
Metro,Left-Center,High,571625,https://metro.co.uk/
Miami Herald,Left-Center,High,3460027,http://www.hikariusa.com/wp/solutions/healthaid/metroplus/
Mic,Left-Center,High,199547,https://www.miamiherald.com/
Migration Policy Institute,Left-Center,High,79346,http://openmic.rsenapps.com/
Milwaukee Journal-Sentinel,Left-Center,High,382971,https://www.migrationpolicy.org/
Minneapolis Star Tribune,Left-Center,High,1511463,https://www.jsonline.com/
Minnesota Public Radio (MPR),Left-Center,High,325808,http://www.startribune.com/
Mongabay,Left-Center,High,154367,https://www.mpr.org/
Monthly Review,Left-Center,High,350420,https://mongabay.org/
Montreal Gazette,Left-Center,High,742114,https://monthlyreview.org/
Morning Consult,Left-Center,High,48157,https://montrealgazette.com/
Moscow Times,Left-Center,High,585137,https://morningconsult.com/
Mother Nature Network,Left-Center,High,552432,https://themoscowtimes.com/
MWC News   Media With Conscience,Left-Center,High,425090,https://www.mnn.com/
Naked Capitalism,Left-Center,High,1689205,http://mwcnews.net/
National Center for Transgender Equality (NCTE),Left-Center,High,23637,https://www.nakedcapitalism.com/
National Newswatch,Left-Center,High,71456,https://transequality.org/
National Observer (Canada),Left-Center,High,24211,https://www.nationalnewswatch.com/
National Youth Rights Association,Left-Center,High,10761,https://www.nationalobserver.com/
